"name_short_en","Rank","iso_alpha_3_code"
"Afghanistan","9th","AFG"
"Albania","119th","ALB"
"Algeria","71st","DZA"
"Angola","34th","AGO"
"Antigua and Barbuda","127th","ATG"
"Argentina","138th","ARG"
"Armenia","108th","ARM"
"Australia","169th","AUS"
"Austria","164th","AUT"
"Azerbaijan","78th","AZE"
"Bahamas","132nd","BHS"
"Bahrain","110th","BHR"
"Bangladesh","39th","BGD"
"Barbados","137th","BRB"
"Belarus","103rd","BLR"
"Belgium","161st","BEL"
"Belize","114th","BLZ"
"Benin","77th","BEN"
"Bhutan","88th","BTN"
"Bolivia","70th","BOL"
"Bosnia and Herzegovina","84th","BIH"
"Botswana","121st","BWA"
"Brazil","75th","BRA"
"Brunei Darussalam","122nd","BRN"
"Bulgaria","133rd","BGR"
"Burkina Faso","37th","BFA"
"Burundi","11th","BDI"
"Cambodia","55th","KHM"
"Cameroon","11th","CMR"
"Canada","171st","CAN"
"Cape Verde","106th","CPV"
"Central African Republic","6th","CAF"
"Chad","7th","TCD"
"Chile","142nd","CHL"
"China","86th","CHN"
"Colombia","65th","COL"
"Comoros","53rd","COM"
"Costa Rica","147th","CRI"
"Cote d'Ivoire","32nd","CIV"
"Croatia","138th","HRV"
"Cuba","118th","CUB"
"Cyprus","123rd","CYP"
"Czech Republic","155th","CZE"
"Denmark","175th","DNK"
"Djibouti","47th","DJI"
"Dominican Republic","107th","DOM"
"Ecuador","89th","ECU"
"Egypt","35th","EGY"
"El Salvador","93rd","SLV"
"Equatorial Guinea","45th","GNQ"
"Eritrea","18th","ERI"
"Estonia","148th","EST"
"Ethiopia","21st","ETH"
"Fiji","86th","FJI"
"Finland","178th","FIN"
"France","160th","FRA"
"Gabon","90th","GAB"
"Gambia","51st","GMB"
"Georgia","80th","GEO"
"Germany","166th","DEU"
"Ghana","108th","GHA"
"Greece","127th","GRC"
"Grenada","125th","GRD"
"Guatemala","58th","GTM"
"Guinea","15th","GIN"
"Guinea Bissau","23rd","GNB"
"Guyana","101st","GUY"
"Haiti","13th","HTI"
"Honduras","64th","HND"
"Hungary","135th","HUN"
"Iceland","174th","ISL"
"India","68th","IND"
"Indonesia","96th","IDN"
"Iran","44th","IRN"
"Iraq","17th","IRQ"
"Ireland","168th","IRL"
"Israel and West Bank","69th","ISR"
"Italy","143rd","ITA"
"Jamaica","116th","JAM"
"Japan","158th","JPN"
"Jordan","67th","JOR"
"Kazakhstan","117th","KAZ"
"Kenya","29th","KEN"
"Kuwait","131st","KWT"
"Kyrgyz Republic","73rd","KGZ"
"Laos","63rd","LAO"
"Latvia","144th","LVA"
"Lebanon","40th","LBN"
"Lesotho","60th","LSO"
"Liberia","31st","LBR"
"Libya","20th","LBY"
"Lithuania","154th","LTU"
"Luxembourg","170th","LUX"
"Madagascar","57th","MDG"
"Malawi","43rd","MWI"
"Malaysia","120th","MYS"
"Maldives","99th","MDV"
"Mali","16th","MLI"
"Malta","156th","MLT"
"Mauritania","33rd","MRT"
"Mauritius","153rd","MUS"
"Mexico","98th","MEX"
"Micronesia","79th","FSM"
"Moldova","101st","MDV"
"Mongolia","129th","MNG"
"Montenegro","124th","MNE"
"Morocco","80th","MAR"
"Mozambique","27th","MOZ"
"Myanmar","22nd","MMR"
"Namibia","105th","NAM"
"Nepal","49th","NPL"
"Netherlands","167th","NLD"
"New Zealand","173rd","NZL"
"Nicaragua","62nd","NIC"
"Niger","19th","NER"
"Nigeria","14th","NGA"
"Norway","177th","NOR"
"Oman","134th","OMN"
"Pakistan","25th","PAK"
"Panama","140th","PAN"
"Papua New Guinea","50th","PNG"
"Paraguay","104th","PRY"
"Peru","97th","PER"
"Philippines","54th","PHL"
"Poland","145th","POL"
"Portugal","165th","PRT"
"Qatar","141st","QAT"
"Romania","136th","ROU"
"Russia","76th","RUS"
"Rwanda","35th","RWA"
"Samoa","112th","WSM"
"Sao Tome and Principe","83rd","STP"
"Saudi Arabia","94th","SAU"
"Senegal","71st","SEN"
"Serbia","100th","SRB"
"Seychelles","126th","SYC"
"Sierra Leone","42nd","SLE"
"Singapore","162nd","SGP"
"Slovak Republic","151st","SVK"
"Slovenia","163rd","SVN"
"Solomon Islands","56th","SLB"
"Somalia","2nd","SOM"
"South Africa","85th","ZAF"
"South Sudan","3rd","SSD"
"Spain","146th","ESP"
"Sri Lanka","52nd","LKA"
"Sudan","8th","SDN"
"Suriname","115th","SUR"
"Swaziland","45th","SWZ"
"Sweden","172nd","SWE"
"Switzerland","176th","CHE"
"Syria","4th","SYR"
"Tajikistan","66th","TJK"
"Tanzania","61st","TZA"
"Thailand","82nd","THA"
"Timor-Leste","47th","TLS"
"Togo","38th","TGO"
"Trinidad and Tobago","129th","TTO"
"Tunisia","95th","TUN"
"Turkey","59th","TUR"
"Turkmenistan","90th","TKM"
"Uganda","24th","UGA"
"Ukraine","92nd","UKR"
"United Arab Emirates","152nd","ARE"
"United Kingdom","149th","GBR"
"United States","149th","USA"
"Uruguay","157th","URY"
"Uzbekistan","74th","UZB"
"Venezuela","28th","VEN"
"Vietnam","110th","VNM"
"Yemen","1st","YEM"
"Zambia","41st","ZMB"
"Zimbabwe","10th","ZWE"
